text,label,text_length,word_count
"i am going to keep this short.this adaption of the wonderful king book is a bad joke and nothing more.of course there are many kubrick and nickolson fans in this site and,as a result,this movie has mysteriously find its way in the top250.br br jack nicholson is laughable as torrance and so is shelley duvall.the story,that has nothing to do with the book,is an incoherent mess and the characters of jack and wendy torrance are complete jokes.br br my advice to anyone that hasnt read the book and wants to understand the characters of this storystick to the tv series ....br br oh ,and the people who are saying that kubrick had every right to destroy the king story cause king is...not a good writer should stick to reviewing masterpieces like eyes wide shut.",0,761,134
"this film was a major letdown. the level of relentless cruelty and violence in this film was very disturbing. some scenes were truly unnecessarily ugly and meanspirited. the main characters were impossible to identify with or even sympathize with. the lead protagonists character was as slimy as they come. the sickroomhothouse atmosphere lent itself to overthetop theatrics. little or nothing could be learned about the spanish civil war from this film. fortunately, ive been to spain and realize this is not realistic! in addition, the use of samesex attraction as a lurid horror was also very offensive and poorly handled, while the dvd is being packaged and advertised to attract gay viewers. the actors seemed uncomfortable in their roles,as if they were trying to distance themselves from this mess.i guess if you like watching children and pets being brutally killed,this film might especially appeal to you.",0,915,146
"oh man is this movie bad. it flows horribly. the story is about a race car driver who is in love with himself, and then has to promote a chicken fast food chain and while doing this, doesnt love himself. he tries getting out of the contract and horrible, painfully unfunny gags ensue. jim nabors seems as if hes sleepwalking, not acting. youll miss such burt sidekicks as dom deluise and jerry reed while watching this stinker. loni andersons hair is downright scary, proving that tons of hairspray didnt go out in the sixties. or maybe that was a wig. speaking of, burts wig wasnt bad in this film. his worst wig day was in smokey and the bandit 2. anyhow, this movie is the worst reynolds car movie, ever, ever, right up there with cannonball run 2. the original smokey and cannonball and hooper which, thankfully, had no sequel are great, funny films. this one isnt. even ned beatty, who is a great actor, stinks. youll long for a jackie gleason type villain who is fun to hate. and mind you, this isnt one of those fun movies to bag on. its lousy, pure and simple. even the outtakes at the end were tiresome and boring, and worst of all, unfunny. and least i forget, stroker ace was one of the first heavy nails to seal burts coffin before his somewhatrevival years later in boogie nights, another film that, like deliverance years earlier, shows that the man can act quite good when he has a decent platform to do so.",0,1422,261
"why is this show so popular? its beyond me why people like it. i think its one of the worst sitcoms out there. br br because its so popular, ive tried more than once to watch it and i cant make it through an entire episode.br br for one thing, the acting is horrible. everybody is overacting to the point where its annoying to watch. they talk in unnatural voices, use unnatural tones, and have unnatural body language. ive seen better acting in a kindergarten school play.br br for another thing, its not funny. the plots are dull. theyre not creative, intelligent, or funny. shouldnt a sitcom be funny?? why am i not laughing?br br lastly, what is seventies about this? its about as authentic to the seventies as happy days was to the fifties.br br oh and what is up with ashton kutcher? who cast this untalented dweeb? and now hes making movies?? oh, save us all!br br if people think this is quality television, it worries me.",0,930,169
"as a great admirer of marlene dietrich, i had to finally watch this very, very dull picture. it is miss dietrichs first color film, and the worlds most beautiful blond is a redhead! bad start. the story is a tremendous bore, involving a subject which itself bores bores me stiff religious guilt. who needs it??? suffice it to say, perhaps, that of all dietrichs films and i have seen most, including pittsburgh this is the only one where even her performance is barely worth watching. the color photography is ok this is a very early technicolor release, but to no purpose. ridiculous casting c. aubrey smith, basil rathbone enough said?. the only thing of any interest at all is john carradines outlandish caricature of a performance as the sand diviner, who foretells all that will happen. the supposed happy ending is one of the most depressing ever conceived. yet another example of david o. selznicks highly inflated reputation did he ever make a really good film? other than that one? and, for one final annoyance, the soundtrack of the mgm dvd is a mess, with volume levels seemingly randomized. highly unrecommended.",0,1124,191
"lets enter the world of this movie for a second, so you can better understand the type of movie we are dealing with here.br br edison is one of those really stupid movies where the bad guy and his goons have been letting loose 50,000 bullets shooting at the good guy behind walls and pillars, shouting at them, and then finally get to the good guy face to face and instead of killing him......instead of wasting this guy that has caused you so much grief....instead of just walking up and pop!.....what do you do? the bad guy.....he talks to him. he grabs the good guy and talks to him while holding his gun. they have nothing to talk about! shoot him! shoot him now! but he talks to him anyway. oh another thing. at the end, a newspaper says pulitzer prize winner story right here or something right above on a front page of a paper, when its like the first time the story is printed. so how in the heezy did someone win a pulitzer for it that fast? yea, you know those types of stupid movies? yea well thats edison in a nutshell.br br you get mr cool morgan freeman and shifty eyed tough kevin spacey who both phone in their roles completely, ll cool j who scowls literally every single moment of the movie,while proposing to his girlfriend in a damn night club of all places,and whos last line duck was something from like a lethal weapon movie that was never made... and justin timberlake whining and spewing nonsense every time he talks, little cocky bastard.the only bright spot was a crazy dylan mcdermott doing his best denzel from training day impression, which was pretty entertaining.br br oh yea so whats the movie about? eh, something about scandals involving the city edisons fictional special unit police force called f.r.a.t. i swear im not making this stuff up which was supposed to be a obvious play off of s.w.a.t. anyway little journalistic super singer boy justin timberflake smells something foul afoot after a murder involving 2 undercover cops from frat, and he goes scurrying off looking for a story, gaining his boss freeman trust along the way while they both unravel something even bigger and sinister than what they both thought. blah blah blah. its like a bootleg pelican brief meets a halfassed training day.the pacing was slow and off, the script was horrible, and the acting was extremely uninspired. it jumped everywhere without going anywhere. people get put in comas and you forget about them. everyone in this movie just didnt think. damn what a stupid movie. its becoming harder to write any sort of review for it because the movie left my brain the second it ended...no lie basically, do not waste your time!",0,2647,468
"ive seen my fair share of badly thoughtout endings and final twists to films, but i dont recall any film that committed outright suicide like this one did.br br the film makers were clearly hoping that the great twist would surprise us all.... and it did, but perhaps not in the way the directors had hoped. i was left feeling surprised that connery, harris, fishburn and capshaw had anything to do with this turkey, individually or collectively.br br the film up until the final thirty minutes was rather engaging and i like the way the story was unfolding and the nature of the film overall. but once the twist was revealed, the plot holes and inconsistencies were remarkable, the underlying motive for revenge was illconceived and the ways things so neatly worked out for bobby earl was ridiculously farfetched. whats worse is that, once the twist was revealed, the remainder of the film became excruciatingly predictable.br br harris gave a terrific performance and connery is like morgan freeman in that he never gives a bad performance, even if the movie aint that great! so all in all, it starts well and the unfolding keeps the viewer interested. the last 30 minutes is one of the most memorable nose dives in the history of cinema.",0,1240,214
"this show is awful. how is george wanting the death of his mother funny? this show is terrible. the parents are obviously horrible and the children should be taken to child services. the daughter is a witch with a b and the son is just a complete brat. george isnt funny, especially when he speaks his loud and obnoxious brand of spanglish. ernie is a loser, but at least ive chuckled at him a few times, but mainly at how pathetic he is. georges mother, benny, in an awful, despicable character. sure, her husband left her, but how anyone can laugh at the way she treated george as a baby is beyond me.br br can someone explain to me how georges head being big is funny? its not even that big! ive moved on from characters because theyre too awful and it would take hours for me to write and i, frankly, dont care enough. i do care enough to tell anyone looking at this and wondering whether or not they want to watch this show, that this show is an abysmal excuse for a sitcom, and is not worth your time.br br i give it 2 starts, because the wife is extremely attractive.",0,1074,204
"i saw this film by accident and this movie was an accident...well it must of been. blonde women being stalked,the villain appearing then disappearing getting from one place to another in minutes then disappearing and reappearing,hiding.he wasnt even a super hero so i dont know how he did it.he couldnt frighten a cat and thats not hard to do.br br the old mirror in the bathroomis just not scary anymore in fact it stopped being scary years ago. you had the cop on the trail of the villain,another clichplayed by idris elba with a very convincing american accent,hes from london the director didnt have a clue and has made a film full of clichs and makes scary movewhich was a comedy look scary. pathetic!",0,706,124
"with adam sandler.br br this is without a doubt one of the most idiotic films ever made. its about cruise ship waiter shecky sandler wanting to be a comedian on the cruise ship. first off, there is not one funny or clever line in the entire movie honestly. it is so unfunny its pathetic. there is surprisingly not much crude or sexual humor, but the fword is plentiful. the budget is really low, and that also ruins the film. it takes place on a cruise ship, but it seems they only had money to rent out a small boat and only had money for 10 ship extras, one of which is billy bob thornton. the opening credits are animated reeeeeaally cheaply, and it is just pathetic. i hate this movie and everyone else that sees this will hate it too.br br 86 mins. rated r for language.",0,775,147
"yet another example of the complete waste of uk lottery money. just how commercial did this film prove. the film council ,who funded this miserable garbage should be stranded, on one of the london undergrounds disused stations, for allowing this clichd, dismal specimen to be committed to film, a half mutant thing made up of all the horror movies the director has seen and felt fit to imitate, most notably deathline. amongst its many sins is the quite obvious failure to make the lead character remotely sympathetic until the last minute. its a little bit too late then! surely all those development executives, at the uk film council, could have noticed this at the script stage. add to this the terrible acting and the laughable appearance of the creature and you get a prime example of how not to scare.",0,808,140
"i could never stand watching happy days after chachi joined the cast, so i knew i was in trouble when the best scene in this movie featured scott baio a skateboard chase scene!. jodie foster in her first grownup role turns in her usual professional performance but that is no excuse for this boring mess. two hours out of my life that ill never get back! no noteworthy characters, unbelievable storyline, questionable editing and horrendous cinematography but worst of all, i couldnt have cared less. the story of california teens in the 1970s, where the kids live miserable lives and all their parents are idiots. dont waste your time watching this ugly excuse for a movie.",0,674,116
"1 how is it that everyone can understand each other perfectly without devices like universal translators or translator microbes? did the creators of this show realize that people who were taken from different parts of the earth, in different time frames attilla the hun wasnt a contemporary of preliterate hellenic cultures, nor were the vikings contemporary to the pyramid builders speak different languages and can never develop a language so similar to modern day englishexcept for the inflections they do not use, which has been influenced by latin, ancient greek, danish and french? br br 2 cultural differences cant be overcome so easily, trust has to be won, yet everywhere the team arrives they are welcomed without any suspicion and start ordering people around like they are their appointed leaders. of course real fans would comment that they are perceived as gods. the people they meet should be shocked by their technology and accuse them of witchcraft and the like.br br 3 historical background none. visually it might vaguely remind you of greek or viking culture, but anyone can dress in a bunch of tablecloths or run to a local costume rental for a plastic helmet with horns and claim to look the part. a smalltown theater group probably has better props.br br 4 boring! another lame canuck production, which inexplicably ran for ten long years. as a kids show it could make the grade, but anyone who has a little knowledge about human behavior and language couldnt bear to even watch the first twelve episodes of season 1, like i just did. i very much wanted to believe i had found a decent scifi show, otherwise i would shut it of and cleansed my computer of this refuge after the first five minutes!",0,1719,294
"the director states in the behindthescenes feature that he loves horror movies. he loves them so much that he dedicated the movie to dario argento, as well as other notable directors such as george a. romero and tobe hooper. basically dedicating this movie to those great directors is like giving your mother a piece of sht for mothers day. the first thing they did wrong was the casting. cast people that can act. also, dont cast a person that is 40 years old for the role of a misunderstood, 18 year old recluse. thats right, hes been in high school for 22 years. the reactions made by people as they watch their boyfriends get their hearts ripped out is amusing. or like one part when a guy gets stabbed in the ear with an ear of corn haha get it, and his girlfriend just goes, oh..my.. god? the scarecrow himself is quite a character. doing flips off cars and calling people losers.br br the movie does have one redeeming factor... oh wait, no it doesnt.br br if you absolutely must see this movie, than just watch the rock and roll trailer on the dvd. it covers about everything and has a really gnarly song dude.",0,1118,205
"a decent sequel, but does not pack the punch of the original. a murderous screenwriterjudd nelsonassumes new identities in order to direct his own novel cabin by the lake. still ruthless killing, but movie seems very tongueincheek. any humor is not of the funny kind. total project seems to have the quality of a quickie and at times nelson is way over the top. this movie is about a script being rewritten before going to the screen...this should have happened to this script.",0,477,83
"im in iraq right now doing a job that gives plenty of time for watching movies. we also have access to plenty of pirated movies, this gem came along with 11 other movies, and this is easily the worst ive seen in a long time. ive seen a few other reviews that claim this movie doesnt take itself too seriously, but really, i think thats a cover up for the fact that its horrible. its not tongue in cheek, the writers really thought they were improving on the movie blade. this movie is just one notch above vampire assassin, which if you havent seen, i recommend. at least that movie is so unbelievably bad that youll laugh harder than you thought possible. this is right at that cusp of no redeeming qualities what so ever. from the bad acting, to clich visual ie opening credits, to the adobe premier special effects. they couldnt even get blanks for the guns, which may have to do with where the movie was filmed, but if youre going to use effects, make them close to accurate. as for the cast, it seems like they just went to a tae bo class and picked up the first not to ugly chick that walked out. once again, like ron hall in vampire assassin, dont let stunt folk act, they cant. also, the comment about this being a return of old vampire movies...no, its not. this is exactly what all new vampire movies are about. buffy the vampire slayer, blade, underworld, theyre all about some super star fighting the vampires. this is the newest vampire genre, with bad blood, fake screams, and cheesy over acting. obviously anyone who wrote a good review about this is somehow connected to the movie, or friends of the cast. but what do i care, i paid 33 cents for it. anyway, to wrap this up, someone in their first semester of film school decided to make a movie, i give them credit because its better than i could do. of course i also know i cant make movies so i dont try. i do know how to watch movies though. i work 12 hour nights, 6 days a week, ive seen several thousand in the year ive been out here and this was so bad that half way through i was hoping for a mortar attack.",0,2081,395
"assuming this wont end up a straighttovideo release, i would have to say void this title at all costs. unless youre bored of good, wellexecuted movies, that is. i saw this last night at afi dallas, and i left with 20 minutes remaining, simply because i didnt care anymore about the plot, not about insulting the director...that is awkward. when you can spot a goof only 5 minutes into the movie a shot out, shattered window before any shots are fired...and then the window breaks with the first shot, things are going to bad. lets just say this is only an indicator of things to come...unfortunately.br br ill spare you all the details, but this is subpar in every manner, even the halfassed acting by michael madsen is disappointing when youre expecting halfassed acting from him. and the rape scene...christ! shut up and take it should never be used in a rape scene. ever.br br 310",0,883,156
"undevelopedunbelievable story line,by the time i sort of figured out where it was going, i no longer cared bad casting.come on... william macy as a hit man??? bad directing,have you ever seen tracey ullman perform so badly?was i supposed to care what happened to the unethical incompetent, uncaring john ritter character? bad script... really, im not looking for a formula script but this was really awful the only really good thing in it was the kid. ten lines? its not ok if your comment is less than ten lines? come on whose rules are those? why cant i say what i have to say in less than 10 lines??? isnt that kind of arbitrary? why isnt it ok to have less than 10 lines of comment?",0,686,126
"oh dear god. this was horrible. there is bad, then there was this. this movie makes no sense at all. it runs all over the map and isnt clear about what its saying at all. the music seemed like it was trying to be like batman. the fact that edison isnt a real city, takes away. since i live in vancouver, watching this movie and recognizing all these places made it unbearable. why didnt they make it a real city? the only writing that was decent wastilman in which john heard did a fantastic job. he was the only actor who played his role realistically and not over the top and campy. it was actually a shame to see john heard play such a great bad guy with a lot of screen time, and the movie be a washout. too bad. hopefully someone important will see it, and at least give john heard credit where credit is due, and hire him as lead bad guy again, which is where he should be. on the a list.",0,894,176
"this was a disappointing horror film about a snotty young girl and her nightmares. for a horror or thriller film and hype, its way too tame. there are only a few tense moments in here, not anywhere as near as many as should have been for a film of this genre. even those tense scenes werent much. the music made them more dramatic that they actually were.br br there is a lot of symbolism in here, so the elitist critics label this a thinking persons horror film. well, if they think about it, im sure they will come to the same conclusion i did a waste of money at the video rental store.br br summary a yawner that offers an unlikeable lead character and generally poor acting. vastly overrated and certainly not what it is advertised.",0,737,136
"this movie is basically about some girls in a catholic school that end up getting into trouble because of putting red dye in one in one of their school mates shampoo and after being reprimanded for this act they decide to take off to florida for a vacation. on their way there they meet up with some guys in a local diner and decide that they would both meet up with each other in another location later on. the girls end up on a road side near the woods and stop for awhile and while one of the girls decides to walk around a bit she sees a murder happen in which the local sheriff himself is involved. she becomes scared and runs to tell the others what happened. the other girls decide to go take a look with her and two of them get killed by the killer. then the two remaining girls are caught by the killer and are placed in local jail cell. the deputy sheriff meanwhile is keeping watch over the girls and despite their insistence that the sheriff is the killer he ignores them both and acts as ignorant and everybody else in this movie who just cant put two and two together much less some lousy detective work at that. the best part was the rape scene between the killer and one of the girls where he decides to rape her in her jail cell and it seems that the girl actually wants to be raped by this man and the bare chest scene i admit was good but before their lips meet he has other things in mind. this movie reminds me of the lowbudget thriller blood song with frankie avalon staring in it, the same motive just a different character part. its not a movie worth renting not even for an 80s lowbudget movie and the ending was the worst ending i have ever seen in a movie and it left me wanting my money back!",0,1720,334
"the silent onepanel cartoon henry comes to fleischer studios, billed as the worlds funniest human in this dull little cartoon. betty, long past her prime, thanks to the production code, is running a pet shop and leaves henry in charge for far too long five minutes. a bore.",0,273,48
"i saw this in a sneak two days before the official opening, and i must say i was extremely disappointed. and i have to put the majority of these problems on the decision to cast claire danes in the lead role. depending on what you think about danes, she was either horribly miscast, or is so far in over her head that she should be the early favorite for the 2007 razzie for worst actress. i think we were supposed to be sympathetic to her. instead, she is completely unlikeable. the other great actresses do an ok job, but certainly dont light up the screen. out of all the great actresses in this movie, id say the one who did the best job was natasha richardson. streep is barely in the picture, and only appears near the very end.br br horrible screenplay as well. it comes off more as them reading lines than truly being in character.",0,839,157
"i saw this when it was in the theater, it started out so strong i mean back in 1980 this was a bold movie and the special effects were excellent at the time. now you would have to of been at least 30 or so in 1980 to really understand this point because studying film historically misses the mind set at the time the expectations, and other related psychological factors. now as i said the movie was engaging suspenseful and very entertaining. it builds to an excellent climax then.... it ends i mean the person that described it as having a water balloon break in your hand before throwing it, besides being a very poetic description. in my experience, it was just not strong enough. my wife and i were well... how can i say this? we were upset, i mean we paid money, invested the time to watch the movie which was excellent. we both felt we were robbed with an ending that convinced us both the production company must of run out of money and could not raise enough to finish it correctly. in fact my wife said it best, it did not end, it just stopped!",0,1054,199
"having seen the first ten episodes, i must say this show sucks. br br what bothers me the most, is that the show was shot in canada. i know its cheaper, but they should have shot it in california, so we could have had scenes in the desert. that would have been more true to the movie. the first scene where they are outside in another world is in the mountains, with lots of pinetrees where it looks cold. that doesnt feel very egyptian. what worked so well in the movie was that it felt like you were in the ancient egypt. here it feels like theyre running around fighting aliens in a canadian forrest. and its so lame that appaerantly, on other planets, the fall comes as well. you can see leaves on the ground in the forrests that all look like forrests outside vancouver. it just makes the show even more unbelievable and dumb. br br and then there is richard dean anderson. he is no kurt russel. sure he does a decent job and he tries to copy russels performance a little bit, but he is just not as cool as russel. and not nearly as good an actor as russel. and russells way of playing o neill, well he was much more cynical. andersons o neil, is way too soft. i liked it that russels version just didnt give a s and had no trouble detonating the bomb until the very end of the movie. br br michael shanks does a really good job as jackson though taking over from james spader.br br tealc is a really annoying character. he is jaffa. not a jaffa. just jaffa. aaaarrgh!! a former bodyguard of a pathetic ra character, seen only in the pilot and in one other episode so far. tealc speaks talks and acts like a robot. ive seen better acting from jean claude van damme.br br and the fact that tealc and the ra character and the people they saved in the movie, can speak english all of a sudden is also incredibly dumb. what made the aliens so scary in the movie was that they spoke an ancient language and were real monsters. br br as for the special effects, they are really good in the pilot. but the very rare effects in the actual show are badly done and looks cheap. especially a planet they visit with crystals. its so obvious they walk around on a soundstage with a badly made painting in the background. its an insult to us viewers that they made it look so cheap. especially when they could have made it in front of a bluescreen with cgi backgrounds. br br the xfiles had better effects when they aired their first episodes in 1993. that was 4 years before sg1 started. and they didnt have the apparent two million dollar budget per episode, that sg1 supposedly had. they must have spend all the money on catering. because i dont see it on the screen. br br incredibly boring and pointless show, that could have been great if they had shot the show in hollywood with a bigger budget and better writers and better characters.",0,2834,534
"the five or so really good westerns that mann made are unequaled as an ensemble in hollywood. even john ford never made that many with so much quality. the curious thing about them all is how uneven they are. fords my darling clementine is worth about two and a half of any of them. or at least two. br br the real hero of them besides mann and stewart is chase. chase being responsible for the brilliant red river. chase wrote far country, bend of the river, and probably some others. but none of them are as finished as my darling clementine, but then very few films, western or otherwise are. br br each of the five films of mann have huge gaps, or is it six, lets see. bend, far, man of the west, furies, winchester 73, and yep, six, naked spur. each have magnificent scene after magnificent scene, with fairly glaring lapses. yet so does red river, which is still the single greatest western ever made. so perfection isnt everything. br br but the far country has huge, huge holes. its mawkish, and really comes alive only when stewart and mc entire are locking horns. the rest is pretty pedestrian, with the usual exception of manns camera. manns camera is a one man course in cinematography. it is about as good an eye as anybody who ever got behind a strip of moving film. it is almost never in the wrong place, never. br br the far country has one amazing moment. and as usual it comes from stewart. nobody in the history of cinema ever received physical punishment with the authority of that man. he is absolutely amazing look at him in bend, far, winchester, and man from laramie in bend has been beaten up and is hanging by a thread so believably and with such boiling hatred he looks like somebody displaced from dachau, in far he is shot off a raft with such violence, it looks so convincing that you wince, and of course when he is dragged through the fire in man, well you find yourself looking for the burn marks. what an actor. not to mention the moment in winchester when he is beaten up early in the hotel room, also as well as anybody ever did it. br br but that was manns territory look at gary cooper fighting with jack lord in man of the west. as painful as any fight scene ever recorded. cooper while not being quite as convincing as stewart, nevertheless is somehow his equal in looking exhausted at the end of the fight. in short, nobody but nobody but nobody ever showed the human being in extremis as well as mann. br br what a great, great director. br br see every western he ever made. they are his real monuments, even if all are scetchy. but so what. when he gets roaring with his great scenes they are as good as anybody, including ford. and his six westerns as an ensemble are the best ever done by anyone, period.br br thanks, anthony.",0,2772,516
